,between centrality,degree centrality,close centrality,eigen centrality,strength,degree,date
NEM,0.010850149469676228,0.8965517241379308,0.8977832512315271,0.2159520058592176,125,26,2017-12-03
Namecoin,0.03152001877581038,0.8275862068965517,0.8379310344827586,0.1996356351101613,204,24,2017-12-03
Nxt,0.008916847413221459,0.8620689655172413,0.8668252080856124,0.20996838428277972,129,25,2017-12-03
Peercoin,0.0024774822209585588,0.7931034482758621,0.8109010011123471,0.20096848828788905,197,23,2017-12-03
PotCoin,0.0018819854015411368,0.7586206896551724,0.7855603448275862,0.19404346311826612,74,22,2017-12-03
Primecoin,0.0019054445734736727,0.7586206896551724,0.7855603448275862,0.19329777182565572,186,22,2017-12-03
Ripple,0.0060860520856860605,0.8275862068965517,0.8379310344827586,0.20484789550034552,216,24,2017-12-03
Stellar,0.0019054445734736727,0.7586206896551724,0.7855603448275862,0.19329777182565572,65,22,2017-12-03
Titcoin,0.0030138174447032285,0.7931034482758621,0.8109010011123471,0.20002708469470395,86,23,2017-12-03
Vertcoin,0.0022731763606834146,0.7931034482758621,0.8109010011123471,0.2015195654630017,103,23,2017-12-03
Zcash,0.003207942556662988,0.7241379310344828,0.7617554858934169,0.1820906907813652,103,21,2017-12-03
Bitcoin Cash,0.0023890000646356545,0.7586206896551724,0.7855603448275862,0.19234390695031614,75,22,2017-12-03
Bitconnect,0.0025138791148643365,0.6206896551724138,0.6982758620689655,0.15512279905290186,28,18,2017-12-03
Decred,0.0,0.4137931034482759,0.5985221674876847,0.10847100867996416,16,12,2017-12-03
Ethereum Classic,0.005717939295830525,0.8275862068965517,0.8379310344827586,0.20462612334794306,121,24,2017-12-03
NuBits,0.0,0.3448275862068966,0.5713166144200627,0.09209214251533264,18,10,2017-12-03
Waves platform,0.0014532658193343886,0.6896551724137931,0.7393509127789046,0.17747271362966344,31,20,2017-12-03
Filecoin,0.0,0.06896551724137931,0.48342175066313,0.01831085479034174,2,2,2017-12-03
OmiseGO,0.0,0.0,0.0,1.0862344974309905e-09,0,0,2017-12-03
EOS,0.0,0.0,0.0,1.0862344974309905e-09,0,0,2017-12-03
Auroracoin,0.0,0.72,0.78125,0.18892497865494795,66,18,2017-08-13
Bitcoin,0.03645613781643193,0.96,0.9615384615384616,0.2260094044040876,518,24,2017-08-13
Dash,0.01090058226087638,0.92,0.925925925925926,0.2245472656752758,169,23,2017-08-13
Dogecoin,0.01090058226087638,0.92,0.925925925925926,0.2245472656752758,271,23,2017-08-13
Ethereum,0.11645613781643195,1.0,1.0,0.22652097304400845,235,25,2017-08-13
Gridcoin,0.005682189542483662,0.84,0.8620689655172413,0.21113070923545796,46,21,2017-08-13
Litecoin,0.005424391784685903,0.88,0.8928571428571429,0.2200513312545212,285,22,2017-08-13
MazaCoin,0.005682189542483662,0.84,0.8620689655172413,0.21113070923545796,77,21,2017-08-13
Monero,0.005424391784685903,0.88,0.8928571428571429,0.2200513312545212,129,22,2017-08-13
NEM,0.01090058226087638,0.92,0.925925925925926,0.2245472656752758,106,23,2017-08-13
Namecoin,0.01090058226087638,0.92,0.925925925925926,0.2245472656752758,177,23,2017-08-13
Nxt,0.008287639647933765,0.88,0.8928571428571429,0.21783421794934624,103,22,2017-08-13
Peercoin,0.003367004727298845,0.84,0.8620689655172413,0.2133382835285917,167,21,2017-08-13
PotCoin,0.001800976800976801,0.76,0.8064516129032258,0.19563802638087746,51,19,2017-08-13
Primecoin,0.003295132155426273,0.84,0.8620689655172413,0.2133478225406328,174,21,2017-08-13
Ripple,0.005424391784685903,0.88,0.8928571428571429,0.22005133125452112,199,22,2017-08-13
Stellar,0.0012377450980392158,0.8,0.8333333333333334,0.2066347748147033,60,20,2017-08-13
Titcoin,0.0,0.72,0.78125,0.18892497865494795,53,18,2017-08-13
Vertcoin,0.003295132155426273,0.84,0.8620689655172413,0.2133478225406328,86,21,2017-08-13
Bitcoin Cash,0.000950046685340803,0.56,0.6944444444444444,0.1446579986228945,30,14,2017-08-13
Bitconnect,0.0,0.12,0.5319148936170213,0.03150690889472934,4,3,2017-08-13
Ethereum Classic,0.021636141636141637,0.8,0.8333333333333334,0.19490016931019571,80,20,2017-08-13
NuBits,0.0,0.36,0.6097560975609756,0.09688187134228986,16,9,2017-08-13
Waves platform,0.0012454212454212454,0.72,0.78125,0.18672498285545444,29,18,2017-08-13
Zcash,0.0007326007326007326,0.56,0.6944444444444444,0.1444521736251653,60,14,2017-08-13
Filecoin,0.0,0.04,0.5102040816326531,0.01102352857586823,1,1,2017-08-13
Auroracoin,0.0017382555652596262,0.9189189189189191,0.925,0.1674837490157733,188,34,2018-08-19
Bitcoin,0.017584641191338738,1.0,1.0,0.1745075474057492,877,37,2018-08-19
Bitcoin Cash,0.0040711276778252255,0.972972972972973,0.9736842105263158,0.17393376220298626,275,36,2018-08-19
Bitcoin Gold,0.0025993256384277273,0.9459459459459459,0.9487179487179488,0.17121411077173396,202,35,2018-08-19
Bitcoin Private,0.0019091436430146106,0.8918918918918919,0.902439024390244,0.1625631828417146,120,33,2018-08-19
Bitconnect,0.0016930819114967265,0.8648648648648649,0.8809523809523809,0.15736100676346435,142,32,2018-08-19
Cardano,0.0038102200580466365,0.9459459459459459,0.9487179487179488,0.1694057425741083,179,35,2018-08-19
Dash,0.0025993256384277273,0.9459459459459459,0.9487179487179488,0.17121411077173396,335,35,2018-08-19
Decred,0.0004332870260289615,0.8918918918918919,0.902439024390244,0.16476409758452104,120,33,2018-08-19
Dogecoin,0.002060279833644048,0.9459459459459459,0.9487179487179488,0.17160665731691474,488,35,2018-08-19
EOS,0.0025993256384277273,0.9459459459459459,0.9487179487179488,0.17121411077173396,153,35,2018-08-19
Ethereum,0.0040711276778252255,0.972972972972973,0.9736842105263158,0.17393376220298626,526,36,2018-08-19
Ethereum Classic,0.0004332870260289615,0.8918918918918919,0.902439024390244,0.16476409758452104,239,33,2018-08-19
Filecoin,0.013605496299616307,0.9189189189189191,0.925,0.16270923945474594,76,34,2018-08-19
Gridcoin,0.0007553112944133829,0.9189189189189191,0.925,0.1688870058856625,174,34,2018-08-19
Litecoin,0.0040711276778252255,0.972972972972973,0.9736842105263158,0.17393376220298626,522,36,2018-08-19
MazaCoin,0.0016875207948244988,0.8648648648648649,0.8809523809523809,0.1572475741542295,119,32,2018-08-19
Monero,0.0040711276778252255,0.972972972972973,0.9736842105263158,0.17393376220298626,357,36,2018-08-19
NEM,0.0007553112944133829,0.9189189189189191,0.925,0.1688870058856625,252,34,2018-08-19
NEO,0.0025993256384277273,0.9459459459459459,0.9487179487179488,0.17121411077173396,129,35,2018-08-19
Namecoin,0.0007553112944133829,0.9189189189189191,0.925,0.1688870058856625,315,34,2018-08-19
NuBits,0.016855123795154674,0.972972972972973,0.9736842105263158,0.1697851722181031,106,36,2018-08-19
Nxt,0.0007553112944133829,0.9189189189189191,0.925,0.1688870058856625,223,34,2018-08-19
OmiseGO,0.002060279833644048,0.9459459459459459,0.9487179487179488,0.17160665731691474,140,35,2018-08-19
Peercoin,0.0007553112944133829,0.9189189189189191,0.925,0.1688870058856625,289,34,2018-08-19
PotCoin,0.002060279833644048,0.9459459459459459,0.9487179487179488,0.17160665731691474,190,35,2018-08-19
Primecoin,0.0019148723293655762,0.9189189189189191,0.925,0.16707538051481574,278,34,2018-08-19
Ripple,0.003641853302190696,0.9459459459459459,0.9487179487179488,0.16981085390184478,396,35,2018-08-19
Stellar,0.01212141530164642,0.9189189189189191,0.925,0.1649295142863265,211,34,2018-08-19
Tether,0.0038112944318808685,0.9459459459459459,0.9487179487179488,0.1693863824853342,146,35,2018-08-19
Titcoin,0.002060279833644048,0.9459459459459459,0.9487179487179488,0.17160665731691474,183,35,2018-08-19
Verge,0.0002999287601778024,0.5135135135135136,0.6727272727272727,0.09444298226070767,27,19,2018-08-19
Vertcoin,0.0007098112489133375,0.8918918918918919,0.902439024390244,0.16399789413865695,136,33,2018-08-19
Waves platform,0.0015029099255022215,0.8648648648648649,0.8809523809523809,0.15792079951597096,97,32,2018-08-19
Zcash,0.00233841801864914,0.9189189189189191,0.925,0.16668609114285604,239,34,2018-08-19
Petro,0.0013360764253353885,0.7837837837837838,0.8222222222222222,0.1431766315770486,61,29,2018-08-19
Tezos,0.0,0.10810810810810813,0.5285714285714286,0.019922586581201374,5,4,2018-08-19
VeChain,0.0,0.4324324324324325,0.6379310344827587,0.08080812192614319,21,16,2018-08-19
Auroracoin,0.0,1.0,1.0,0.2773500981126145,25,12,2014-07-27
Bitcoin,0.0,1.0,1.0,0.2773500981126145,207,12,2014-07-27
Dash,0.0,1.0,1.0,0.2773500981126145,25,12,2014-07-27
Dogecoin,0.0,1.0,1.0,0.2773500981126145,127,12,2014-07-27
Ethereum,0.0,1.0,1.0,0.2773500981126145,32,12,2014-07-27
Litecoin,0.0,1.0,1.0,0.2773500981126145,141,12,2014-07-27
MazaCoin,0.0,1.0,1.0,0.2773500981126145,33,12,2014-07-27
Namecoin,0.0,1.0,1.0,0.2773500981126145,89,12,2014-07-27
Nxt,0.0,1.0,1.0,0.2773500981126145,12,12,2014-07-27
Peercoin,0.0,1.0,1.0,0.2773500981126145,99,12,2014-07-27
Primecoin,0.0,1.0,1.0,0.2773500981126145,94,12,2014-07-27
Ripple,0.0,1.0,1.0,0.2773500981126145,93,12,2014-07-27
Vertcoin,0.0,1.0,1.0,0.2773500981126145,41,12,2014-07-27
Auroracoin,0.0,0.72,0.78125,0.17573129981901192,74,18,2017-09-10
Bitcoin,0.010471813317401556,0.96,0.9615384615384616,0.21854751713601467,540,24,2017-09-10
Dash,0.010471813317401556,0.96,0.9615384615384616,0.21854751713601467,184,24,2017-09-10
Dogecoin,0.010471813317401556,0.96,0.9615384615384616,0.21854751713601467,295,24,2017-09-10
Ethereum,0.09047181331740156,1.0,1.0,0.21899489483080087,258,25,2017-09-10
Gridcoin,0.010471813317401556,0.96,0.9615384615384616,0.21854751713601467,70,24,2017-09-10
Litecoin,0.0023504901960784315,0.88,0.8928571428571429,0.2085757739810081,287,22,2017-09-10
MazaCoin,0.005208333333333335,0.84,0.8620689655172413,0.19654291064222165,77,21,2017-09-10
Monero,0.0047178450634332994,0.92,0.925925925925926,0.21458575295751295,153,23,2017-09-10
NEM,0.010471813317401556,0.96,0.9615384615384616,0.21854751713601467,121,24,2017-09-10
Namecoin,0.007628267973856209,0.92,0.925925925925926,0.21253753815950985,189,23,2017-09-10
Nxt,0.010471813317401556,0.96,0.9615384615384616,0.21854751713601467,126,24,2017-09-10
Peercoin,0.0015525599128540307,0.84,0.8620689655172413,0.20055293934134305,177,21,2017-09-10
PotCoin,0.0036277777233659596,0.88,0.8928571428571429,0.2068748300166124,73,22,2017-09-10
Primecoin,0.00156181917211329,0.84,0.8620689655172413,0.20060398110338507,184,21,2017-09-10
Ripple,0.0023504901960784315,0.88,0.8928571428571429,0.2085757739810081,200,22,2017-09-10
Stellar,0.00156181917211329,0.84,0.8620689655172413,0.20060398110338507,61,21,2017-09-10
Titcoin,0.0036277777233659596,0.88,0.8928571428571429,0.2068748300166124,78,22,2017-09-10
Vertcoin,0.0047178450634332994,0.92,0.925925925925926,0.21458575295751306,101,23,2017-09-10
Bitcoin Cash,0.0015974765974765975,0.76,0.8064516129032258,0.1815630592030391,54,19,2017-09-10
Bitconnect,0.0,0.56,0.6944444444444444,0.13601022268877508,18,14,2017-09-10
Ethereum Classic,0.003590740686328922,0.88,0.8928571428571429,0.20682067155584047,98,22,2017-09-10
NuBits,0.0,0.36,0.6097560975609756,0.08965804232070555,17,9,2017-09-10
Waves platform,0.0005664488017429193,0.72,0.78125,0.17450522808928182,29,18,2017-09-10
Zcash,0.002037615162615163,0.76,0.8064516129032258,0.18040754202243509,79,19,2017-09-10
Filecoin,0.0,0.04,0.5102040816326531,0.010124326210654904,1,1,2017-09-10
Auroracoin,0.0,0.7826086956521738,0.8214285714285714,0.1953537692734436,66,18,2017-07-09
Bitcoin,0.09687167246455784,1.0,1.0,0.22559440105749465,496,23,2017-07-09
Dash,0.009915150725427405,0.9565217391304348,0.9583333333333334,0.22506215613748795,164,22,2017-07-09
Dogecoin,0.009915150725427405,0.9565217391304348,0.9583333333333334,0.22506215613748795,270,22,2017-07-09
Ethereum,0.009915150725427405,0.9565217391304348,0.9583333333333334,0.22506215613748795,217,22,2017-07-09
Gridcoin,0.006752305665349146,0.9130434782608696,0.92,0.2183565447004478,46,21,2017-07-09
Litecoin,0.004080405760247657,0.9130434782608696,0.92,0.220313794306436,282,21,2017-07-09
MazaCoin,0.006752305665349146,0.9130434782608696,0.92,0.2183565447004478,76,21,2017-07-09
Monero,0.004080405760247657,0.9130434782608696,0.92,0.220313794306436,114,21,2017-07-09
NEM,0.009915150725427405,0.9565217391304348,0.9583333333333334,0.22506215613748795,102,22,2017-07-09
Namecoin,0.009915150725427405,0.9565217391304348,0.9583333333333334,0.22506215613748795,176,22,2017-07-09
Nxt,0.009915150725427405,0.9565217391304348,0.9583333333333334,0.22506215613748795,103,22,2017-07-09
Peercoin,0.004080405760247657,0.9130434782608696,0.92,0.220313794306436,163,21,2017-07-09
PotCoin,0.0,0.7826086956521738,0.8214285714285714,0.1953537692734436,46,18,2017-07-09
Primecoin,0.0014822134387351778,0.8695652173913043,0.8846153846153846,0.21360818286939576,170,20,2017-07-09
Ripple,0.004080405760247657,0.9130434782608696,0.92,0.220313794306436,194,21,2017-07-09
Stellar,0.0014822134387351778,0.8695652173913043,0.8846153846153846,0.21360818286939576,59,20,2017-07-09
Titcoin,0.0,0.7826086956521738,0.8214285714285714,0.1953537692734436,53,18,2017-07-09
Vertcoin,0.0014822134387351778,0.8695652173913043,0.8846153846153846,0.21360818286939576,83,20,2017-07-09
Bitconnect,0.0,0.043478260869565216,0.5111111111111111,0.011226971661251556,1,1,2017-07-09
Ethereum Classic,0.0015202189115232593,0.7826086956521738,0.8214285714285714,0.1925310187948372,64,18,2017-07-09
NuBits,0.0,0.3913043478260869,0.6216216216216216,0.10016302308440432,16,9,2017-07-09
Waves platform,0.0015202189115232593,0.7826086956521738,0.8214285714285714,0.1925310187948372,29,18,2017-07-09
Zcash,0.0,0.5652173913043478,0.696969696969697,0.14144883537654893,58,13,2017-07-09
