,number of edits,name,page_name
153,94.0,David Gerard,Alexis de Tocqueville Institution
154,82.0,David Gerard,Curtis Yarvin
155,82.0,David Gerard,Dark Enlightenment
156,78.0,David Gerard,XFree86
157,75.0,David Gerard,The Wolfgang Press
158,74.0,David Gerard,GNU/Linux naming controversy
159,74.0,David Gerard,Smart contract
161,93.0,Cliff12345,Litecoin
162,81.0,Cliff12345,Peercoin
163,63.0,Cliff12345,List of cryptocurrencies
164,62.0,Cliff12345,Bitcoin
165,59.0,Cliff12345,Ripple (payment protocol)
166,59.0,Cliff12345,Digital currency
167,45.0,Cliff12345,Cryptocurrency
168,33.0,Cliff12345,Ethylene propylene rubber
169,31.0,Cliff12345,List of digital currencies
170,26.0,Cliff12345,Center for Retirement Research at Boston College
171,23.0,Cliff12345,Namecoin
172,23.0,Cliff12345,Library assessment
173,21.0,Cliff12345,United Kingdom Mathematics Trust
174,15.0,Cliff12345,Houdini (chess)
175,15.0,Cliff12345,Muhammad's first revelation
176,14.0,Cliff12345,Space Technology Hall of Fame
177,14.0,Cliff12345,"Shamsabad, Pakistan"
178,13.0,Cliff12345,Tear resistance
179,13.0,Cliff12345,Spring supply
181,487.0,Smallbones,List of municipalities in Pennsylvania
182,307.0,Smallbones,Bernard Madoff
183,244.0,Smallbones,George Soros
184,206.0,Smallbones,"Chambersburg, Pennsylvania"
185,173.0,Smallbones,Bitcoin
186,156.0,Smallbones,Brandywine Creek (Christina River tributary)
187,152.0,Smallbones,Foreign exchange market
188,131.0,Smallbones,Seth Kinman
189,126.0,Smallbones,"Media, Pennsylvania"
190,123.0,Smallbones,List of public art in Philadelphia
191,116.0,Smallbones,FXCM
192,113.0,Smallbones,List of Presbyterian churches in the United States
193,112.0,Smallbones,Cape May Historic District
194,103.0,Smallbones,Massive open online course
195,102.0,Smallbones,Mass killings under communist regimes
196,87.0,Smallbones,Foreign exchange fraud
197,86.0,Smallbones,"National Register of Historic Places listings in Delaware County, Pennsylvania"
198,84.0,Smallbones,Tulip mania
199,79.0,Smallbones,Chicagoland Sports Hall of Fame
201,44.0,Retimuko,List of bitcoin forks
202,43.0,Retimuko,Bitcoin Cash
203,40.0,Retimuko,Ethereum
204,40.0,Retimuko,Bitcoin
205,39.0,Retimuko,Cryptocurrency
206,36.0,Retimuko,Legality of bitcoin by country or territory
207,31.0,Retimuko,Blockchain
208,30.0,Retimuko,History of bitcoin
209,21.0,Retimuko,"Tesla, Inc."
210,21.0,Retimuko,Smart contract
211,21.0,Retimuko,Satoshi Nakamoto
212,16.0,Retimuko,Monero (cryptocurrency)
213,15.0,Retimuko,Proof-of-stake
214,15.0,Retimuko,Litecoin
215,14.0,Retimuko,Roger Ver
216,13.0,Retimuko,Alphabet Inc.
217,13.0,Retimuko,Tash Sultana
218,12.0,Retimuko,Mikhail Gorbachev
219,12.0,Retimuko,Zener diode
221,233.0,Chrisarnesen,Bitcoin
222,23.0,Chrisarnesen,Coinbase
223,22.0,Chrisarnesen,BitPay
224,20.0,Chrisarnesen,Blockchain.info
225,19.0,Chrisarnesen,Bitcoin network
226,18.0,Chrisarnesen,LocalBitcoins
227,15.0,Chrisarnesen,Bitstamp
228,15.0,Chrisarnesen,Ab Initio Software
229,13.0,Chrisarnesen,Ripple (payment protocol)
230,11.0,Chrisarnesen,Zerocoin protocol
231,9.0,Chrisarnesen,Bitcoin Foundation
232,8.0,Chrisarnesen,Cryptocurrency
233,8.0,Chrisarnesen,BitInstant
234,6.0,Chrisarnesen,Hal Finney (computer scientist)
235,6.0,Chrisarnesen,Nick Szabo
236,5.0,Chrisarnesen,Datadog
237,5.0,Chrisarnesen,BTCC (company)
238,5.0,Chrisarnesen,Namecoin
239,4.0,Chrisarnesen,Apache HBase
241,103.0,Rdjere,Bitcoin
242,101.0,Rdjere,George Clements
243,91.0,Rdjere,Primecoin
244,63.0,Rdjere,Jasig
245,60.0,Rdjere,Vibratosax
246,45.0,Rdjere,Oggcast
247,28.0,Rdjere,"North Edwards, California"
248,12.0,Rdjere,Reverse takeover
249,7.0,Rdjere,Peercoin
250,6.0,Rdjere,Server Room Environment Monitoring System
251,6.0,Rdjere,David Paul Gregg
252,5.0,Rdjere,Free software
253,5.0,Rdjere,Podcast
254,5.0,Rdjere,The Father Clements Story
255,5.0,Rdjere,Lamport's distributed mutual exclusion algorithm
256,4.0,Rdjere,Michael Jordan
257,3.0,Rdjere,Waze
258,3.0,Rdjere,Igor Butman
259,3.0,Rdjere,Bi-twin chain
261,181.0,PirateButtercup,Ripple (payment protocol)
262,2.0,PirateButtercup,Bitstamp
263,2.0,PirateButtercup,Ripple Labs
264,41.0,Agyle,Cryptocurrency
265,39.0,Agyle,Mt. Gox
266,38.0,Agyle,Pizza delivery
267,34.0,Agyle,Bitcoin
268,30.0,Agyle,Gratuity
269,29.0,Agyle,Vertcoin
270,25.0,Agyle,Mark Karpelès
271,24.0,Agyle,Toyota Prius
272,23.0,Agyle,Busser
273,22.0,Agyle,Namecoin
274,21.0,Agyle,Bell's palsy
275,19.0,Agyle,Primecoin
276,18.0,Agyle,Viral hemorrhagic septicemia
277,18.0,Agyle,Auroracoin
278,17.0,Agyle,Paracetamol
279,17.0,Agyle,Litecoin
280,16.0,Agyle,Alpine chough
281,16.0,Agyle,Volatile organic compound
282,16.0,Agyle,Brian Dunning (author)
284,152.0,Laurencedeclan,Bitcoin
285,18.0,Laurencedeclan,Bitcoin Cash
286,13.0,Laurencedeclan,Bitcoin scalability problem
287,10.0,Laurencedeclan,Capitalism
288,8.0,Laurencedeclan,Bitcoin Core
289,7.0,Laurencedeclan,Blockchain
290,7.0,Laurencedeclan,Lightning Network
291,4.0,Laurencedeclan,SegWit
292,3.0,Laurencedeclan,Libertarianism
293,3.0,Laurencedeclan,Ethereum
294,2.0,Laurencedeclan,Bitcoin Unlimited
295,2.0,Laurencedeclan,Phenibut
296,2.0,Laurencedeclan,History of bitcoin
297,2.0,Laurencedeclan,Proof-of-work system
298,1.0,Laurencedeclan,Anarcho-capitalism
299,1.0,Laurencedeclan,Anarcho-communism
300,1.0,Laurencedeclan,Libertarian socialism
301,1.0,Laurencedeclan,Communist society
302,1.0,Laurencedeclan,Socialism
304,167.0,Aoidh,"Buford, Georgia"
305,155.0,Aoidh,Bitcoin
306,131.0,Aoidh,Android (operating system)
307,126.0,Aoidh,Xbox 360 system software
308,120.0,Aoidh,42 (number)
309,105.0,Aoidh,List of Linux distributions
310,98.0,Aoidh,Bodhidharma
311,91.0,Aoidh,List of child prodigies
312,90.0,Aoidh,Windows 8
313,85.0,Aoidh,List of PDF software
314,78.0,Aoidh,QR code
315,75.0,Aoidh,List of live action role-playing groups
316,73.0,Aoidh,The Horus Heresy (novels)
317,72.0,Aoidh,IOS jailbreaking
318,69.0,Aoidh,Sagamore of the Wabash
319,68.0,Aoidh,WGN-TV
320,63.0,Aoidh,Gautama Buddha
321,63.0,Aoidh,Flipnote Studio 3D
322,61.0,Aoidh,Digital rights management
324,362.0,Earl King Jr.,The Zeitgeist Movement
325,270.0,Earl King Jr.,Jacque Fresco
326,169.0,Earl King Jr.,Zeitgeist: The Movie
327,126.0,Earl King Jr.,Zeitgeist (film series)
328,103.0,Earl King Jr.,The Venus Project
329,81.0,Earl King Jr.,Peter Joseph
330,79.0,Earl King Jr.,Ethereum
331,76.0,Earl King Jr.,Bitcoin
332,70.0,Earl King Jr.,Cambodia
333,63.0,Earl King Jr.,Sharing economy
334,54.0,Earl King Jr.,Decentralized autonomous organization
335,53.0,Earl King Jr.,Technocracy
336,46.0,Earl King Jr.,Zeitgeist: Moving Forward
337,44.0,Earl King Jr.,Jose Antonio Pineda
338,44.0,Earl King Jr.,Resource-based economy
339,42.0,Earl King Jr.,Post-scarcity economy
340,34.0,Earl King Jr.,Anarcho-syndicalism
341,28.0,Earl King Jr.,Zeitgeist: Addendum
342,26.0,Earl King Jr.,Technocracy movement
344,448.0,N2e,SpaceX reusable launch system development program
345,316.0,N2e,SpaceX Mars transportation infrastructure
346,279.0,N2e,Raptor (rocket engine family)
347,276.0,N2e,BFR (rocket)
348,266.0,N2e,Falcon 9
349,266.0,N2e,SpaceX
350,220.0,N2e,List of Falcon 9 and Falcon Heavy launches
351,203.0,N2e,Hyperloop pod competition
352,174.0,N2e,Blue Origin
353,172.0,N2e,ITS launch vehicle
354,169.0,N2e,Autonomous spaceport drone ship
355,165.0,N2e,Blockchain
356,158.0,N2e,Grasshopper (rocket)
357,156.0,N2e,Falcon Heavy
358,152.0,N2e,Space launch market competition
359,141.0,N2e,SpaceX South Texas Launch Site
360,137.0,N2e,SpaceX Dragon
361,129.0,N2e,Ethereum
362,129.0,N2e,Hyperloop
364,141.0,KyleLandas,Bitcoin
365,63.0,KyleLandas,Digital currency
366,26.0,KyleLandas,Bitcoin network
367,10.0,KyleLandas,David Chaum
368,6.0,KyleLandas,Cryptocurrency
369,5.0,KyleLandas,List of digital currencies
