name,wikipedia,price,rand
Bitcoin,1.4291532518191126,-1.671125360136994,-0.0019379877087405593
Bitcoin Cash,-0.5679639002830745,-0.942339308737286,0.032930255070939905
Bitcoin Gold,2.2441455486661694,-1.405652721900355,-0.09210918876958983
Cardano,-0.8543859410045074,-1.7539197290670532,0.016656959082984122
Dash,-3.847137449979198,-0.5362342588359579,-0.021419117764766883
Dogecoin,-0.8363005767454545,-5.789474068234778,-0.0008486176799687426
EOS,0.7074505966367268,-1.8864784321981682,-0.012702499340798467
Ethereum,-0.7298069858084664,-4.371945520971192,-0.16055232248122578
Ethereum Classic,3.0683739131119845,0.9255831166305954,-0.0009600406758343685
Litecoin,2.354733231385333,-0.9628800102717621,-0.03870620749730649
Monero,0.6811081883515724,0.16412547321413262,0.06196363616641022
NEO,0.23207753092992434,-1.882432856738205,0.04397772635012396
OmiseGO,-1.4924856656834922,1.249740632270908,-0.049110474275203736
Ripple,-3.603282603630022,-0.9688696840118239,-0.03588335170678106
Stellar,-0.5530074620446429,-1.0040765482945628,-0.06681234730000628
Tether,0.1619367824150757,-0.06932305982896034,-0.008163478928737204
Zcash,-2.7443204425499674,-3.107537454243637,-0.03524284311565596
