,time,returns
0,2015-07-03,0.028976937140365422
1,2015-07-04,0.005054679797170225
2,2015-07-05,0.05310476795239649
3,2015-07-06,0.052080894413509105
4,2015-07-07,-0.06026406775953341
5,2015-07-08,0.03131505119752509
6,2015-07-09,0.1698924391995761
7,2015-07-10,0.09076109369382612
8,2015-07-11,-0.06819120550180058
9,2015-07-12,0.07457980800194058
10,2015-07-13,-0.05695316044027408
11,2015-07-14,0.011786879568249198
12,2015-07-15,-0.01597294629129309
13,2015-07-16,-0.13300533883456012
14,2015-07-17,0.012749014288350994
15,2015-07-18,0.04815529060104007
16,2015-07-19,-0.008474244952541973
17,2015-07-20,0.038572096519465075
18,2015-07-21,-0.058025314972098174
19,2015-07-22,0.017229795011423448
20,2015-07-23,-0.058800841608078525
21,2015-07-24,0.11064583534644228
22,2015-07-25,0.016532592500370424
23,2015-07-26,0.011183087277908232
24,2015-07-27,0.0208725884041324
25,2015-07-28,0.04365073707613154
26,2015-07-29,-0.036014197441785877
27,2015-07-30,-0.009992304330487626
28,2015-07-31,0.05025060415053617
29,2015-08-01,-0.04461551590604368
30,2015-08-02,-0.0030611515971222802
31,2015-08-03,-0.019593362077910292
32,2015-08-04,0.029332101243217057
33,2015-08-05,0.02301227430000108
34,2015-08-06,-0.011776177198936644
35,2015-08-07,0.06888461507249422
36,2015-08-08,-0.041920289155978445
37,2015-08-09,0.028825517443965998
38,2015-08-10,-0.02381644071472755
39,2015-08-11,0.12428512994084502
40,2015-08-12,0.09836140087569548
41,2015-08-13,0.043492035162916255
42,2015-08-14,0.05894183565984409
43,2015-08-15,-0.009654011540612642
44,2015-08-16,-0.01328014366064285
45,2015-08-17,0.10124055155737191
46,2015-08-18,-0.12645656057620333
47,2015-08-19,0.027351809052856613
48,2015-08-20,0.09308665602670492
49,2015-08-21,-0.00100631843804778
50,2015-08-22,-0.02587537657895611
51,2015-08-23,0.0734567079569702
52,2015-08-24,-0.11725170566790886
53,2015-08-25,0.009216458551230775
54,2015-08-26,0.03546214757943876
55,2015-08-27,-0.02428063452863327
56,2015-08-28,0.031114235109607462
57,2015-08-29,0.020090760887174507
58,2015-08-30,0.0067476648330088386
59,2015-08-31,0.01624507833178999
60,2015-09-01,0.001169279837407472
61,2015-09-02,0.02420955787623306
62,2015-09-03,-0.023530497410194112
63,2015-09-04,-0.0429866500867366
64,2015-09-05,-0.02543550232429248
65,2015-09-06,0.026275933315927657
66,2015-09-07,-0.007806084782320153
67,2015-09-08,0.04509112885301769
68,2015-09-09,0.020252621677022853
69,2015-09-10,0.0754003365994871
70,2015-09-11,0.04963730396334269
71,2015-09-12,0.0042145532101070604
72,2015-09-13,-0.02986464598683749
73,2015-09-14,-0.054420725214508275
74,2015-09-15,0.01540546238057649
75,2015-09-16,0.033408395045889584
76,2015-09-17,-0.010283086442582861
77,2015-09-18,0.02011566932543296
78,2015-09-19,-0.01596750406948723
79,2015-09-20,-0.02048628274466475
80,2015-09-21,-0.014421600396764328
81,2015-09-22,0.02658974852695531
82,2015-09-23,-0.007479910122534972
83,2015-09-24,0.012240453966817152
84,2015-09-25,-0.014441184686221287
85,2015-09-26,-0.00013708195757653843
86,2015-09-27,-0.05515869405970292
87,2015-09-28,-0.03543541433537262
88,2015-09-29,-0.06511569988603694
89,2015-09-30,0.013202245813970582
90,2015-10-01,-0.027078209053106782
91,2015-10-02,0.0022147607054605056
92,2015-10-03,0.01718797895612532
93,2015-10-04,-0.09234514387831447
94,2015-10-05,-0.040461481920555584
95,2015-10-06,0.04768664008446931
96,2015-10-07,0.01638499603114328
97,2015-10-08,-0.006719311034229662
98,2015-10-09,0.019062147278681663
99,2015-10-10,0.015236750915975063
100,2015-10-11,0.005636612592573953
101,2015-10-12,-0.019002793547680176
102,2015-10-13,0.019616500280207245
103,2015-10-14,-0.013857696724275753
104,2015-10-15,-0.03455538028860217
105,2015-10-16,-0.009095824782367515
106,2015-10-17,0.028203949473223033
107,2015-10-18,-0.0219097386244723
108,2015-10-19,-0.007024863237009377
109,2015-10-20,-0.0423790582452633
110,2015-10-21,-0.07464300156484605
111,2015-10-22,0.08977666992336258
112,2015-10-23,0.004810295391308117
113,2015-10-24,0.00814695074197506
114,2015-10-25,-0.017272530206077674
115,2015-10-26,-0.026074665097674376
116,2015-10-27,-0.05604275542612138
117,2015-10-28,-0.11032994164717501
118,2015-10-29,0.09586268531473618
119,2015-10-30,0.1320599714707924
120,2015-10-31,-0.0876015500401576
121,2015-11-01,0.06887191662292633
122,2015-11-02,-0.03796653340049931
123,2015-11-03,0.06048660622568527
124,2015-11-04,0.07418019371844424
125,2015-11-05,-0.04592845756639074
126,2015-11-06,-0.031568427306677194
127,2015-11-07,0.017737506093101676
128,2015-11-08,-0.004221747460676094
129,2015-11-09,0.04540738954509615
130,2015-11-10,-0.028382599371200783
131,2015-11-11,-0.05521572260244678
132,2015-11-12,0.06817700499178055
133,2015-11-13,0.03221008991081813
134,2015-11-14,0.010716398123035325
135,2015-11-15,-0.029296334909991756
136,2015-11-16,0.03007052170585157
137,2015-11-17,0.04100358252206292
138,2015-11-18,0.00020536350819598073
139,2015-11-19,-0.04072398765996581
140,2015-11-20,-0.020989590592602372
141,2015-11-21,0.008966938160579974
142,2015-11-22,-0.035392561455523094
143,2015-11-23,0.018789426429532862
144,2015-11-24,-0.028842789838284113
145,2015-11-26,0.04835061755574106
146,2015-11-27,0.005481319580649541
147,2015-11-28,-0.003941750940896162
148,2015-11-29,0.023551359273667416
149,2015-11-30,0.021312335236130943
150,2015-12-01,-0.045753107984338
