,n,m,number of components,cluser,connected flag,date
0,16,81,2,0.8477564102564104,False,2014-09-28
0,20,160,1,0.968403852769178,True,2016-08-21
0,19,152,1,0.9546869625043,True,2016-07-10
0,38,628,1,0.9525614920303141,True,2018-09-09
0,13,78,1,1.0,True,2014-07-13
0,29,286,2,0.8734350105791475,False,2017-10-29
0,22,192,1,0.9433621933621933,True,2017-04-09
0,19,152,1,0.9546869625043,True,2016-05-22
0,19,151,1,0.9499570003439971,True,2016-02-07
0,29,288,2,0.8778085331515273,False,2017-11-12
0,16,85,1,0.8814102564102565,True,2014-11-30
0,37,469,2,0.8464882317763005,False,2018-02-25
0,9,25,1,0.8941798941798942,True,2014-03-09
0,17,98,1,0.8453350570997631,True,2015-02-22
0,24,227,1,0.8961180771686897,True,2017-07-23
0,22,189,1,0.9396847734309034,True,2017-02-05
0,13,78,1,1.0,True,2014-07-06
0,16,81,2,0.8477564102564104,False,2014-10-19
0,7,17,1,0.9238095238095239,True,2013-12-15
0,23,226,1,0.9384185488910218,True,2017-06-18
0,37,531,1,0.8777443039455118,True,2018-04-29
