time,return
2015-07-01,-0.0005750722753482432
2015-07-03,-0.0018881665167917363
2015-07-04,0.0
2015-07-05,0.0015369805698129556
2015-07-06,-0.0005149187952355961
2015-07-07,0.0016830834625855013
2015-07-08,-0.00038429483106446803
2015-07-09,-0.008941942632421021
2015-07-10,-0.00015973354355643685
2015-07-11,0.0017641538882351
2015-07-12,0.00027570408685146465
2015-07-13,0.0005801963216063015
2015-07-14,-0.000569118230512311
2015-07-15,0.010293655577708888
2015-07-16,-0.00044184760519618346
2015-07-17,-0.0013474339662284834
2015-07-18,7.367355234499251e-05
2015-07-19,0.001321564464899512
2015-07-20,0.000567930089578544
2015-07-21,0.0015278266600624243
2015-07-22,0.00018030802223395454
2015-07-23,0.0032808155968346115
2015-07-24,-0.0006613046591252351
2015-07-25,-0.00014577066129198047
2015-07-26,-0.0003342182904706672
2015-07-27,-0.0009072967978472386
2015-07-28,0.0006010988792704652
2015-07-29,0.0002941188073319529
2015-07-30,-0.0001420779169184736
2015-07-31,0.0048489729508321205
2015-08-01,0.00016320895608051345
2015-08-02,-0.00020582578926433382
2015-08-03,-0.00037241591867369085
2015-08-04,-0.00040895601095276656
2015-08-05,-0.00028733078364425667
2015-08-06,-0.0005524428716192002
2015-08-07,-0.008027108822767606
2015-08-08,0.0035101923823292725
2015-08-09,-0.0003396805032105431
2015-08-10,-0.0002454079948727738
2015-08-11,0.00507408403401523
2015-08-12,0.0011945308724594138
2015-08-13,-0.0006601038616817816
2015-08-14,0.0008698948565751357
2015-08-15,-0.003202235902477401
2015-08-16,-0.0005870739252029542
2015-08-17,-0.0011436570748531668
2015-08-18,0.003258419080393259
2015-08-19,-0.0039039988507400584
2015-08-20,0.002597598734937359
2015-08-21,-0.0008796222154843614
2015-08-22,0.0018458126034217727
2015-08-23,-0.0008356121729806596
2015-08-24,-0.004258870623945351
2015-08-25,0.001577590239299097
2015-08-26,-0.004086413132198865
2015-08-27,-0.0015023661896953937
2015-08-28,-0.0007316604403106909
2015-08-29,0.0021839172086392145
2015-08-30,0.0007737030374585065
2015-08-31,-0.00012021774585053153
2015-09-01,-0.0014768671043535
2015-09-02,-0.0005192675496461352
2015-09-03,0.0019816049667641727
2015-09-04,0.0014833445055161137
2015-09-05,-0.004175243842682318
2015-09-06,0.0012183519620781007
2015-09-07,-1.981053269818156e-05
2015-09-08,0.0006788646290605835
2015-09-09,-0.0004740207566923097
2015-09-10,0.0022642397487194783
2015-09-11,-0.0016695442969990723
2015-09-12,0.0013004500153138674
2015-09-13,-0.0019232669227232674
2015-09-14,0.003913076644190394
2015-09-15,0.0009430209805625272
2015-09-16,0.00033291659233042125
2015-09-17,-0.0003613749798123398
2015-09-18,-0.002827872645803316
2015-09-19,-0.0006302965302508819
2015-09-20,-0.0005213324212889756
2015-09-21,0.00013678733650371755
2015-09-22,0.00019102408801573539
2015-09-23,0.000878107910641323
2015-09-24,0.0017159903244841788
2015-09-25,0.0007346585659535671
2015-09-26,-0.0001309917963435948
2015-09-27,0.0010960867207250571
2015-09-28,0.004125819304048129
2015-09-29,-0.00048722609910222393
2015-09-30,-0.002493510469781028
2015-10-01,0.005683600469513241
2015-10-02,-0.0005053656423667942
2015-10-03,0.000985796429919335
2015-10-04,-0.0007686909199468488
2015-10-05,-0.0033115036348499577
2015-10-06,-0.0028685731102533613
2015-10-07,-0.0029300565902011656
2015-10-08,-0.0009253946208535535
2015-10-09,0.0005102935399224063
2015-10-10,-0.0008684339487331297
2015-10-11,-0.0009166277710831483
2015-10-12,-0.0006549836500102344
2015-10-13,-0.0002943292003992413
2015-10-14,-0.005222473297955157
2015-10-15,0.0005933029570334717
2015-10-16,-0.0014330441431740994
2015-10-17,0.0009415603731860828
2015-10-18,-0.0031393865623321497
2015-10-19,0.0001711890251399194
2015-10-20,0.0007418183804874678
2015-10-21,0.0013049821904699394
2015-10-22,0.001165296575235335
2015-10-23,0.0006883839031224623
2015-10-24,-0.0020023400225683196
2015-10-25,0.0018208489406179363
2015-10-26,-0.004605980572176006
2015-10-27,-0.000826525175937582
2015-10-28,0.005825484742001261
2015-10-29,-0.003999945682991845
2015-10-30,-0.002121203319373177
2015-10-31,0.0025552600003611006
2015-11-01,-0.002940468100933
2015-11-02,0.006051811990526079
2015-11-03,0.0016713441254964866
2015-11-04,0.008944177979658172
2015-11-05,0.0021622979294323133
2015-11-06,0.0010863213118401283
2015-11-07,0.000533715508787545
2015-11-08,5.4720510088890124e-05
2015-11-09,-0.0016704859980314851
2015-11-10,-0.0011565595534266983
2015-11-11,-1.587091884482722e-06
2015-11-12,0.0006304408301892178
2015-11-13,0.0006457858517026069
2015-11-14,-0.0015937581553357484
2015-11-15,0.0002216018627093025
2015-11-16,-0.0004532865259297044
2015-11-17,-0.0004063544074800396
2015-11-18,-0.002433894375122187
2015-11-19,8.367298140067362e-06
2015-11-20,-7.587242274106365e-05
2015-11-21,7.410671416690073e-05
2015-11-22,-0.0008908937796279883
2015-11-23,0.0008486384413144961
2015-11-24,-0.002971835770743542
2015-11-25,0.0009751576114205173
2015-11-26,0.00015039144592649057
2015-11-27,0.0016103062233969031
2015-11-28,0.0012534783576072814
2015-11-29,-8.121452202661044e-05
2015-11-30,0.0015450455465404707
2015-12-01,0.0014611305165418537
2015-12-02,0.00019696943438657079
2015-12-03,-0.0004390654728098594
2015-12-04,-0.012920791247410577
2015-12-05,0.0012498163955108256
2015-12-06,0.00017190397365364984
2015-12-07,-0.0005466948583040246
2015-12-08,0.011324990350902422
2015-12-09,-0.0006585445850138051
